timestamp,epic,bid,ask,price,volume,timeframe
2026-03-11T04:02:27.697Z,CS.D.GBPUSD.MINI.IP,1.34497,1.34506,1.345015,541,1h
2026-03-11T04:02:28.611Z,CS.D.EURUSD.MINI.IP,1.1628,1.16286,1.16283,976,1h
2026-03-11T04:02:28.942Z,CS.D.GBPUSD.MINI.IP,1.345,1.34509,1.3450449999999998,698,1h
2026-03-11T04:02:29.089Z,CS.D.EURUSD.MINI.IP,1.16281,1.16287,1.16284,1057,1h
2026-03-11T04:02:29.416Z,CS.D.GBPUSD.MINI.IP,1.34498,1.34507,1.3450250000000001,483,1h
2026-03-11T04:02:30.071Z,CS.D.EURUSD.MINI.IP,1.16281,1.16287,1.16284,710,1h
2026-03-11T04:02:30.333Z,CS.D.EURUSD.MINI.IP,1.16281,1.16287,1.16284,976,1h
2026-03-11T04:02:30.412Z,CS.D.EURUSD.MINI.IP,1.16281,1.16287,1.16284,915,1h
2026-03-11T04:02:30.416Z,CS.D.GBPUSD.MINI.IP,1.34499,1.34508,1.345035,102,1h
2026-03-11T04:02:30.673Z,CS.D.GBPUSD.MINI.IP,1.34499,1.34508,1.345035,844,1h
2026-03-11T04:02:30.757Z,CS.D.GBPUSD.MINI.IP,1.34499,1.34508,1.345035,104,1h
2026-03-11T04:02:31.649Z,CS.D.EURUSD.MINI.IP,1.1628,1.16286,1.16283,900,1h
2026-03-11T04:02:31.993Z,CS.D.GBPUSD.MINI.IP,1.34495,1.34504,1.344995,775,1h
2026-03-11T04:02:32.094Z,CS.D.EURUSD.MINI.IP,1.1628,1.16286,1.16283,177,1h
2026-03-11T04:02:32.447Z,CS.D.GBPUSD.MINI.IP,1.34495,1.34504,1.344995,529,1h
2026-03-11T04:02:33.077Z,CS.D.EURUSD.MINI.IP,1.16278,1.16284,1.16281,731,1h
2026-03-11T04:02:33.421Z,CS.D.EURUSD.MINI.IP,1.16278,1.16284,1.16281,561,1h
2026-03-11T04:02:33.466Z,CS.D.EURUSD.MINI.IP,1.16278,1.16284,1.16281,476,1h
2026-03-11T04:02:33.484Z,CS.D.GBPUSD.MINI.IP,1.34494,1.34503,1.3449849999999999,131,1h
2026-03-11T04:02:33.761Z,CS.D.GBPUSD.MINI.IP,1.34494,1.34503,1.3449849999999999,790,1h
2026-03-11T04:02:33.800Z,CS.D.GBPUSD.MINI.IP,1.34494,1.34503,1.3449849999999999,572,1h
2026-03-11T04:02:34.624Z,CS.D.EURUSD.MINI.IP,1.16278,1.16284,1.16281,308,1h
2026-03-11T04:02:34.981Z,CS.D.GBPUSD.MINI.IP,1.34493,1.34502,1.344975,533,1h
2026-03-11T04:02:35.097Z,CS.D.EURUSD.MINI.IP,1.16278,1.16284,1.16281,654,1h
2026-03-11T04:03:27.287Z,CS.D.EURUSD.MINI.IP,1.16276,1.16282,1.16279,673,1h
2026-03-11T04:03:27.494Z,CS.D.EURUSD.MINI.IP,1.16276,1.16282,1.16279,846,1h
2026-03-11T04:03:27.526Z,CS.D.EURUSD.MINI.IP,1.16276,1.16282,1.16279,878,1h
2026-03-11T04:03:27.625Z,CS.D.GBPUSD.MINI.IP,1.3449,1.34499,1.344945,1013,1h
2026-03-11T04:03:27.832Z,CS.D.GBPUSD.MINI.IP,1.3449,1.34499,1.344945,864,1h
2026-03-11T04:03:27.857Z,CS.D.GBPUSD.MINI.IP,1.3449,1.34499,1.344945,103,1h
2026-03-11T04:03:28.765Z,CS.D.EURUSD.MINI.IP,1.16276,1.16282,1.16279,213,1h
2026-03-11T04:03:29.107Z,CS.D.GBPUSD.MINI.IP,1.3449,1.34499,1.344945,523,1h
2026-03-11T04:03:29.257Z,CS.D.EURUSD.MINI.IP,1.16276,1.16282,1.16279,1067,1h
2026-03-11T04:03:29.601Z,CS.D.GBPUSD.MINI.IP,1.3449,1.34499,1.344945,569,1h
2026-03-11T04:03:30.460Z,CS.D.EURUSD.MINI.IP,1.16276,1.16282,1.16279,1076,1h
2026-03-11T04:03:30.570Z,CS.D.EURUSD.MINI.IP,1.16276,1.16282,1.16279,889,1h
2026-03-11T04:03:30.714Z,CS.D.EURUSD.MINI.IP,1.16276,1.16282,1.16279,588,1h
2026-03-11T04:03:30.789Z,CS.D.GBPUSD.MINI.IP,1.3449,1.34499,1.344945,906,1h
2026-03-11T04:03:30.893Z,CS.D.GBPUSD.MINI.IP,1.3449,1.34499,1.344945,354,1h
2026-03-11T04:03:31.055Z,CS.D.GBPUSD.MINI.IP,1.3449,1.34499,1.344945,830,1h
2026-03-11T04:03:31.776Z,CS.D.EURUSD.MINI.IP,1.16276,1.16282,1.16279,606,1h
2026-03-11T04:03:32.121Z,CS.D.GBPUSD.MINI.IP,1.3449,1.34499,1.344945,118,1h
